Probability,Number of occurences,Sequences
0.3804043953855356,586,['11']
0.2157448843196088,332,"['11', '11']"
0.06189278572193472,95,['5']
0.05724431316638662,88,['13']
0.030545210180395365,47,['7']
0.030453165450509297,46,"['7', '7']"
0.028728583573386333,44,"['5', '13']"
0.028678092032222186,44,"['13', '7']"
0.027284045090703476,42,"['5', '5']"
0.02199828564771758,33,"['5', '11']"
0.020770822566061473,32,"['13', '13']"
0.016137451955540862,24,"['5', '11', '11']"
0.015582601470003983,24,"['11', '13']"
0.013335083873602917,20,"['13', '7', '7', '7']"
0.012553811669902791,19,['12']
0.00986090717727057,15,"['5', '7']"
0.007646790325893718,11,"['9', '7']"
0.005693511273652494,8,['8']
0.004557454350155164,7,['6']
0.004067478840591398,6,['9']
0.003873949536767728,5,"['5', '13', '11', '11']"
0.002946376392156971,4,"['13', '11', '11']"
