Negative log P values,Empirical frequency,Expected frequency,Motif
0.6499090220649192,0.008088124635726545,0.006234619708752314,"['13', '7', '7', '7']"
0.5952771652503661,0.007293822043070292,0.0056397448606300415,"['5', '13', '11', '11']"
0.15260752360332847,0.0033967391304347825,0.0030015611242721505,['8']
0.13147294021122505,0.007825378982696031,0.007294290519600894,['9']
0.10593608182394809,0.008232833798663183,0.007782195615856096,['12']
0.07309112803268197,0.006488327432185295,0.006202249581651398,"['9', '7']"
0.06050362592492356,0.05014890008728735,0.04949282525572583,"['11', '13']"
0.029512972291357402,0.5568138776056849,0.5560591325233786,['11']
0.0224078948534222,0.3969430764378781,0.39637451500313337,"['11', '11']"
0.012701251154334231,0.05616618734186442,0.056012947335775665,"['5', '11']"
0.011924756289732448,0.03992841461948374,0.039805954988101404,"['5', '11', '11']"
0.008798133421335473,0.03265899376195132,0.03257665712785913,"['13', '7']"
0.0016998098205675528,0.002717391304347826,0.0027126488606837654,['6']
