Negative log P values,Empirical frequency,Expected frequency,Motif
27.439461018528394,0.007886060945071821,0.0006269199332269237,"['5', '5', '3', '1', '5']"
23.65622428917512,0.006573647602018314,0.0004836887186401202,"['5', '6', '1', '2', '2']"
14.415695281129182,0.003309196814964642,3.9079651381328965e-05,"['3', '6', '2', '4', '5', '4']"
12.469690567781763,0.004697493071914881,0.0005991923544962266,"['3', '6', '1', '5', '5']"
12.251266704241893,0.00715717631644756,0.0015658365290394287,"['5', '4', '6', '5']"
5.966570994565193,0.0016715265163348902,9.64404295564949e-05,"['6', '3', '4', '5', '4']"
5.957171947497027,0.003951125502239642,3.717844950607249e-06,"['5', '1', '5', '7', '4', '3', '1', '1']"
5.618112057022163,0.001514524720910497,4.713568564533206e-05,"['4', '6', '2', '1', '2', '1']"
5.408101425275326,0.0015970310006356311,0.00011194629166714693,"['5', '1', '2', '6', '5']"
5.1703594530248775,0.010340517811847727,0.0051448264073484205,"['4', '6', '5']"
4.740851214277773,0.002687326187361358,0.0006023127112307051,"['1', '1', '1', '5', '1']"
3.9033581930909134,0.0011512506622176546,3.1415780455365994e-05,"['1', '6', '3', '6', '1', '5']"
3.0927583444400484,0.0031383013992734373,0.0011565247590967086,"['5', '5', '3', '2']"
2.876479723236845,0.0012693955334913114,0.00021794084788748054,"['6', '2', '7', '4']"
2.5316698303506375,0.003905137086994888,0.0018191983045183272,"['4', '5', '6', '1']"
1.9823173142460424,0.0013794972803619413,0.00040831161128572626,"['1', '1', '1', '5', '6']"
1.8799774667605997,0.006286723931077202,0.0038983796152465633,"['5', '1', '4']"
1.7986756986725703,0.0010141373153417649,5.120767593728163e-06,"['5', '4', '2', '1', '2', '5', '6']"
1.2136858142978932,0.0018540590823421564,9.903307709676635e-07,"['1', '2', '4', '5', '7', '6', '6', '6']"
0.48144243097083195,0.0003352675520212048,0.0001253795963302398,"['6', '7', '4', '1']"
0.26588102591722346,0.0014443135736070649,9.997943577773694e-08,"['4', '7', '1', '2', '1', '3', '2', '2', '5']"
0.148692111134823,0.0008756568792604928,6.134996481794675e-08,"['2', '1', '6', '1', '3', '7', '3', '4']"
0.09465791886894495,0.11995107956717198,0.1188154551243082,['6']
0.07206473975085176,0.01854543020666222,0.018179846077897244,"['3', '4']"
0.06683804343955073,0.01378604402716204,0.013491590053685954,"['7', '5']"
0.04974072780750221,0.24845981461702796,0.24762955244238455,['5']
0.035827347954932524,0.13138939152872792,0.13091522535918013,['4']
0.018521868522510258,3.283086028451803e-05,5.077599142976024e-08,"['7', '2', '4', '1', '3', '4', '2', '1']"
0.013107674733674069,0.029422169278400818,0.02933319803713914,"['2', '2']"
